sample_name,R_vfs,R_n,R_intph0,R_intph1,R_area_m,R_area_v,R_area_s,R_area_k,R_comp_m,R_comp_v,R_comp_s,R_comp_k,R_eccen_m,R_eccen_v,R_eccen_s,R_eccen_k,R_els_m,R_els_v,R_els_s,R_els_k,P_locvf_m,P_locvf_v,P_locvf_s,P_locvf_k,P_nbd_m,P_nbd_v,P_nbd_s,P_nbd_k,P_ncd_m,P_ncd_v,P_ncd_s,P_ncd_k,P_ornang_m,P_ornang_v,P_ornang_s,P_ornang_k,P_pores_m,P_pores_v,P_pores_s,P_pores_k,P_rc_m,P_rc_v,P_rc_s,P_rc_k,P_rctan_m,P_rctan_v,P_rctan_s,P_rctan_k,P_rnds_m,P_rnds_v,P_rnds_s,P_rnds_k,P_ttst_m,P_ttst_v,P_ttst_s,P_ttst_k
sample11-100rpm-60kx-31,3.168859e-03,16,6.156780e-04,6.029635e-04,7.599925e+02,2.938806e+05,8.828809e-01,2.287453e+00,1.793343e-01,8.006299e-04,-2.635941e-01,1.964434e+00,7.884872e-01,2.053495e-02,-6.696779e-01,1.998915e+00,6.161024e-01,2.432723e-02,3.040021e-01,1.719201e+00,6.207072e-03,3.551227e-05,9.674111e-01,2.894219e+00,2.351626e+02,7.900227e+04,8.230513e-01,2.137819e+00,2.678711e+02,7.959021e+04,8.537195e-01,2.261831e+00,-2.789188e-01,6.817071e-01,-1.053055e-01,1.996966e+00,8.857247e+00,5.891892e+00,5.869499e-01,3.600936e+00,1.469557e+01,2.768362e+01,6.232197e-01,1.968024e+00,7.243913e-01,1.163545e-02,-7.481352e-01,2.449460e+00,6.355110e-01,7.438307e-02,7.090448e-01,2.288465e+00,3.830631e-01,1.689828e-03,-4.790975e-01,1.878076e+00
sample11-100rpm-60kx-33,2.701844e-03,9,4.714167e-04,4.543009e-04,1.151978e+03,2.787670e+06,2.110637e+00,5.989075e+00,1.696300e-01,1.531927e-03,-5.863323e-01,2.145992e+00,8.204254e-01,3.272747e-02,-1.224549e+00,3.622582e+00,5.201925e-01,5.009947e-02,3.070313e-01,2.162348e+00,3.246910e-03,1.482327e-05,1.524985e+00,4.308300e+00,2.696346e+02,4.993313e+04,4.017097e-01,1.637881e+00,3.331622e+02,5.014616e+04,4.555210e-01,1.673479e+00,-1.754283e-01,7.513552e-02,-1.124322e+00,3.141055e+00,8.879322e+00,1.943707e+01,1.532297e+00,4.486626e+00,1.630326e+01,1.135006e+02,1.631843e+00,4.533075e+00,7.458170e-01,1.269836e-02,-7.740505e-01,2.211744e+00,4.931948e-01,6.436981e-02,3.143220e-01,2.085617e+00,4.229242e-01,1.703479e-03,8.923296e-03,1.949470e+00
sample11-100rpm-60kx-4,5.523497e-03,11,7.325542e-04,7.237518e-04,1.926850e+03,8.081110e+06,2.376980e+00,7.442186e+00,1.569777e-01,8.771583e-04,-1.324850e-01,2.382819e+00,8.474277e-01,1.880618e-02,-2.096344e+00,6.575870e+00,5.601410e-01,2.530501e-02,5.147067e-01,3.235561e+00,6.798124e-03,3.040469e-05,9.174194e-01,2.814107e+00,1.983040e+02,3.043459e+04,2.414203e-01,1.414112e+00,2.507754e+02,3.965519e+04,3.374310e-01,1.594372e+00,5.028740e-01,1.232795e-01,8.595766e-01,2.028672e+00,1.178176e+01,5.391445e+01,1.697500e+00,5.444898e+00,2.090191e+01,1.940900e+02,1.595364e+00,4.962998e+00,6.508578e-01,1.040368e-02,-3.870933e-02,2.368188e+00,4.843084e-01,5.866819e-02,2.104949e+00,6.591696e+00,3.909841e-01,3.852190e-03,-5.718854e-01,2.618235e+00
sample11-100rpm-60kx-5,5.868258e-04,3,1.110079e-04,1.051396e-04,7.506099e+02,1.126443e+05,1.328249e-01,1.500000e+00,1.887613e-01,1.403098e-04,-4.597349e-01,1.500000e+00,7.853758e-01,1.660458e-03,-6.666596e-01,1.500000e+00,6.737631e-01,1.455428e-03,4.550180e-01,1.500000e+00,5.988913e-04,2.392501e-08,-2.263402e-01,1.500000e+00,1.202088e+03,5.016594e+04,7.071068e-01,1.500000e+00,1.233688e+03,5.431729e+04,7.071068e-01,1.500000e+00,-2.122407e-01,2.077034e+00,3.569674e-01,1.500000e+00,9.952947e+00,9.036324e+00,4.563905e-02,1.500000e+00,1.518900e+01,1.233109e+01,-7.842425e-03,1.500000e+00,7.717227e-01,1.754753e-02,-6.329219e-01,1.500000e+00,8.210131e-01,9.748292e-03,-5.430289e-01,1.500000e+00,3.427555e-01,2.204868e-03,4.841085e-01,1.500000e+00
sample11-100rpm-60kx-6,8.481588e-03,18,1.266077e-03,1.239180e-03,1.808136e+03,4.407273e+06,2.001380e+00,6.800532e+00,1.540936e-01,1.380079e-03,2.524196e-02,2.357998e+00,8.023102e-01,2.972587e-02,-1.040902e+00,2.834803e+00,5.998191e-01,4.583899e-02,5.759998e-02,2.261297e+00,1.897903e-02,9.943941e-04,2.944964e+00,1.119829e+01,1.352396e+02,4.148620e+04,1.760752e+00,4.514314e+00,1.851132e+02,4.197074e+04,1.696631e+00,4.521784e+00,2.990581e-01,3.834493e-01,-1.194492e+00,3.872200e+00,1.134458e+01,2.985761e+01,3.772534e-01,1.948117e+00,2.087221e+01,1.481278e+02,9.417953e-01,3.444716e+00,6.481592e-01,1.102332e-02,1.013626e-01,2.647391e+00,5.466685e-01,7.313995e-02,7.258574e-01,3.310849e+00,3.640954e-01,2.071565e-03,-2.508689e-01,2.536149e+00
sample11-100rpm-60kx-8,6.498606e-03,5,4.826642e-04,4.934227e-04,4.987427e+03,9.996398e+07,1.497734e+00,3.246960e+00,1.518796e-01,1.078830e-03,-6.776084e-01,1.878776e+00,8.448517e-01,8.809700e-03,1.871286e-01,1.289463e+00,5.494246e-01,3.552539e-02,-1.510687e-01,1.297609e+00,7.573165e-03,1.772493e-04,1.477588e+00,3.220761e+00,2.762225e+02,5.713393e+04,-3.725128e-01,1.182883e+00,3.310159e+02,5.306154e+04,-4.078859e-01,1.166861e+00,1.928712e-01,1.037382e+00,-1.172114e+00,2.819033e+00,1.360609e+01,2.325635e+02,1.457055e+00,3.192979e+00,2.702393e+01,1.071568e+03,1.466235e+00,3.205075e+00,7.011594e-01,1.136613e-02,4.170468e-01,1.186048e+00,5.895274e-01,2.795056e-02,-2.249722e-01,1.928619e+00,3.353299e-01,3.561334e-03,4.801269e-01,1.449965e+00
sample11-195rpm-60kx-1,9.014622e-03,15,1.169739e-03,1.169739e-03,2.306124e+03,9.020861e+06,2.848800e+00,1.034024e+01,1.545495e-01,1.146343e-03,1.304502e-02,2.464464e+00,7.616008e-01,3.138359e-02,-6.099527e-01,1.945422e+00,6.444831e-01,3.549512e-02,3.558467e-02,2.194246e+00,2.077856e-02,9.206607e-04,1.882045e+00,5.234288e+00,2.254698e+02,2.521611e+04,-1.783320e-01,1.685968e+00,2.802540e+02,2.794494e+04,-1.759477e-01,1.871190e+00,2.241753e-01,1.557309e-01,6.852073e-02,3.299166e+00,1.330746e+01,3.289849e+01,8.671965e-01,2.948837e+00,2.397687e+01,1.705412e+02,1.801317e+00,6.530365e+00,6.519615e-01,1.000869e-02,8.880199e-01,3.131545e+00,5.354630e-01,4.054445e-02,5.340604e-01,2.438051e+00,3.550868e-01,2.421957e-03,-1.864281e+00,6.545077e+00
sample11-195rpm-60kx-11,7.811629e-03,8,8.616558e-04,9.599491e-04,3.746951e+03,1.606855e+07,5.774695e-01,1.921888e+00,1.488772e-01,2.366755e-03,-3.622151e-01,2.712472e+00,7.569050e-01,1.724766e-02,-1.888044e-01,2.361481e+00,6.637132e-01,2.046361e-02,-6.993320e-01,2.707480e+00,3.086866e-02,3.131656e-03,2.034114e+00,5.515200e+00,1.188083e+02,8.406164e+04,2.262818e+00,6.130270e+00,1.662113e+02,9.372483e+04,2.244751e+00,6.083806e+00,7.490094e-01,3.094214e-01,1.496846e-01,1.655312e+00,1.513973e+01,1.165657e+02,3.203485e-01,1.424065e+00,2.875363e+01,4.181945e+02,1.989508e-01,1.405355e+00,6.105592e-01,2.128502e-02,1.160742e-01,1.320301e+00,5.721573e-01,4.980037e-02,8.517854e-01,3.391352e+00,3.258724e-01,5.638650e-03,-4.616751e-01,3.403918e+00
sample11-195rpm-60kx-12,5.036432e-02,72,6.668297e-03,6.888356e-03,2.684212e+03,4.600876e+07,4.471618e+00,2.521069e+01,1.298748e-01,1.723058e-03,1.963233e-01,2.134104e+00,8.019900e-01,1.511848e-02,-6.574425e-01,2.674873e+00,6.206139e-01,2.466927e-02,-3.624299e-01,2.793361e+00,5.795150e-02,5.440271e-03,2.059875e+00,7.706221e+00,7.573927e+01,6.108478e+03,1.033848e+00,3.142722e+00,1.258992e+02,6.412920e+03,8.342127e-01,2.975998e+00,-6.210124e-02,7.019069e-01,-2.716102e-01,1.965436e+00,1.029453e+01,9.146807e+01,2.236282e+00,7.543617e+00,2.070290e+01,4.317983e+02,2.768207e+00,1.121870e+01,5.994695e-01,1.618174e-02,3.728599e-01,2.657941e+00,5.260121e-01,4.304274e-02,4.434386e-01,2.661133e+00,3.040130e-01,4.970504e-03,-3.829033e-02,2.091433e+00
sample11-195rpm-60kx-13,2.529415e-02,67,4.394836e-03,4.500465e-03,1.448677e+03,6.585838e+06,3.653864e+00,1.910884e+01,1.323730e-01,1.056129e-03,7.772491e-03,2.541623e+00,8.088217e-01,1.678054e-02,-1.611560e+00,5.654656e+00,6.245571e-01,2.201660e-02,1.674980e-01,2.610965e+00,4.283723e-02,2.801420e-03,2.101872e+00,7.679572e+00,6.530681e+01,6.815989e+03,2.548424e+00,1.030884e+01,1.061727e+02,6.503995e+03,2.269817e+00,9.182376e+00,1.165245e-01,7.521101e-01,-7.608979e-02,2.023463e+00,8.713768e+00,3.630739e+01,1.641017e+00,4.992483e+00,1.733091e+01,1.632038e+02,2.091921e+00,7.521535e+00,5.980206e-01,1.386931e-02,-2.427725e-01,2.516010e+00,5.459478e-01,4.552412e-02,8.131586e-01,3.447694e+00,3.130929e-01,6.043387e-03,6.443759e-02,2.351578e+00
sample11-195rpm-60kx-14,1.546286e-02,11,1.110568e-03,1.171695e-03,5.394155e+03,6.099238e+07,1.867814e+00,5.237479e+00,1.559670e-01,5.605909e-04,1.658536e-01,2.029343e+00,7.607337e-01,1.830757e-02,-1.173537e+00,3.643689e+00,7.004204e-01,1.528579e-02,5.249012e-01,2.341747e+00,2.451349e-02,1.730197e-03,2.522559e+00,7.962230e+00,2.739852e+02,9.514105e+04,1.556890e+00,3.925925e+00,3.510875e+02,8.710648e+04,1.389891e+00,3.593243e+00,1.898053e-01,8.635695e-01,-1.971213e-01,2.162172e+00,2.077652e+01,1.748226e+02,9.885503e-01,2.998883e+00,3.403889e+01,6.142036e+02,1.251348e+00,3.508991e+00,6.548777e-01,4.437557e-03,-2.454535e-01,3.654936e+00,6.517727e-01,3.769911e-02,1.132163e+00,3.298324e+00,3.212907e-01,2.287112e-03,-1.599551e-01,2.180879e+00
sample11-195rpm-60kx-19,1.236393e-02,11,1.268033e-03,1.304709e-03,4.313107e+03,6.516162e+07,2.419551e+00,7.454957e+00,1.472052e-01,1.947896e-03,-6.132670e-01,1.856980e+00,7.917109e-01,1.793003e-02,-9.236973e-01,2.171109e+00,6.484457e-01,1.928599e-02,5.012811e-01,1.952297e+00,3.991429e-02,2.878992e-03,1.760145e+00,5.388353e+00,1.145801e+02,3.341104e+04,1.391833e+00,3.333673e+00,1.617353e+02,3.220076e+04,1.351909e+00,3.301285e+00,-1.766746e-01,7.741258e-01,9.569866e-02,1.907874e+00,1.463322e+01,1.733505e+02,2.349741e+00,7.478916e+00,2.807571e+01,6.431248e+02,1.736652e+00,5.100030e+00,6.329918e-01,2.241816e-02,2.295392e-01,1.374028e+00,6.141205e-01,6.495707e-02,3.535620e-01,1.844619e+00,3.164489e-01,7.234184e-03,-3.939029e-01,2.071157e+00
sample11-195rpm-60kx-22,5.944056e-03,11,9.154482e-04,9.193604e-04,2.073560e+03,2.331022e+06,4.360279e-01,1.863807e+00,1.461332e-01,1.266655e-03,-2.785917e-01,2.478230e+00,7.687029e-01,1.610663e-02,-4.045809e-01,2.312624e+00,6.684933e-01,2.044045e-02,6.468655e-02,1.929450e+00,8.251716e-02,4.447663e-02,2.776048e+00,8.852829e+00,1.662056e+02,6.658175e+04,1.331211e+00,3.384182e+00,2.181335e+02,6.613615e+04,1.253511e+00,3.230449e+00,2.765221e-01,5.341242e-01,-1.976822e-01,2.112252e+00,1.243836e+01,1.596719e+01,-1.342459e-02,1.719893e+00,2.389670e+01,9.788067e+01,8.251926e-02,1.610718e+00,6.068659e-01,8.990941e-03,3.955131e-01,2.117323e+00,5.298364e-01,1.537127e-02,1.658456e-01,1.984430e+00,3.310572e-01,4.833175e-03,-8.470595e-01,2.979210e+00
sample11-195rpm-60kx-24,1.484425e-02,75,3.460805e-03,3.394787e-03,7.594921e+02,1.624100e+06,3.813457e+00,1.754110e+01,1.404642e-01,8.962577e-04,1.867938e-01,2.276997e+00,7.632896e-01,2.797203e-02,-8.833290e-01,3.266144e+00,6.458637e-01,3.360673e-02,-6.674747e-01,2.818251e+00,2.356960e-02,1.739331e-03,4.871229e+00,3.164865e+01,7.654750e+01,4.560429e+03,2.576090e+00,1.378254e+01,1.073279e+02,4.679879e+03,2.369202e+00,1.349147e+01,9.706316e-02,5.751873e-01,-3.342819e-01,2.638928e+00,7.049287e+00,1.653160e+01,1.878789e+00,7.197153e+00,1.326333e+01,6.672755e+01,2.647395e+00,1.045925e+01,6.315412e-01,1.148371e-02,3.799654e-01,4.314648e+00,5.613028e-01,4.973444e-02,2.420622e-01,2.293495e+00,3.289317e-01,3.377522e-03,-8.592051e-02,3.330987e+00
sample11-195rpm-60kx-25,1.056775e-03,6,2.753191e-04,2.562472e-04,6.758616e+02,2.285204e+05,2.089359e-01,1.342276e+00,1.490143e-01,1.160505e-03,4.112850e-02,2.872209e+00,8.310512e-01,2.551452e-02,-8.672407e-01,2.245979e+00,5.526085e-01,3.942031e-02,2.246636e-01,1.956473e+00,1.534347e-03,1.320579e-06,1.199077e+00,3.448813e+00,3.223574e+02,1.925699e+05,8.630871e-01,2.051611e+00,3.574001e+02,1.946065e+05,8.657776e-01,2.065685e+00,5.611072e-01,3.375710e-01,2.835665e-01,1.678863e+00,7.356134e+00,5.622086e+00,-3.620780e-01,1.682471e+00,1.381439e+01,2.915517e+01,9.476632e-02,1.205859e+00,6.629633e-01,1.450640e-02,3.451807e-01,1.548608e+00,4.776996e-01,5.246877e-02,2.696874e-01,1.788263e+00,3.883184e-01,2.765624e-03,-9.311083e-01,2.918416e+00
sample11-195rpm-60kx-26,2.809917e-03,7,4.699496e-04,4.587021e-04,1.540359e+03,2.016500e+06,8.076802e-01,1.955042e+00,1.583286e-01,1.406646e-03,-1.086985e+00,3.472727e+00,8.527529e-01,7.560226e-03,-1.129549e+00,3.270869e+00,5.718068e-01,1.127595e-02,-8.589430e-01,3.119760e+00,3.003413e-03,3.846058e-06,1.436036e+00,3.789483e+00,1.437372e+02,5.591655e+04,1.063665e+00,2.286973e+00,1.888289e+02,6.452690e+04,1.108834e+00,2.437891e+00,5.361855e-01,3.671216e-01,6.885457e-01,1.847978e+00,1.179241e+01,2.666581e+01,7.227032e-01,2.210513e+00,2.013602e+01,9.899407e+01,5.004119e-01,1.834313e+00,6.701425e-01,1.114633e-02,2.949318e-01,2.081584e+00,5.613745e-01,6.481744e-02,9.298126e-01,3.264537e+00,3.575965e-01,1.785398e-03,-8.373984e-01,2.526560e+00
sample11-195rpm-60kx-31,2.162306e-02,14,1.748252e-03,1.818182e-03,5.926735e+03,1.012298e+08,1.806660e+00,4.795655e+00,1.493216e-01,1.604118e-03,-2.837766e-01,2.505725e+00,8.101079e-01,1.946801e-02,-1.153253e+00,3.240558e+00,5.968637e-01,2.787059e-02,4.907130e-01,1.731176e+00,4.715074e-02,4.163400e-03,1.736400e+00,4.771134e+00,1.187655e+02,3.303109e+04,1.348799e+00,2.920086e+00,1.892404e+02,3.840720e+04,1.262690e+00,2.855355e+00,3.846643e-01,3.362933e-01,1.966923e-02,2.105128e+00,1.756818e+01,2.593003e+02,9.721020e-01,2.407566e+00,3.164621e+01,9.531371e+02,1.263029e+00,3.258238e+00,6.775755e-01,8.216343e-03,6.071774e-01,2.184682e+00,5.371250e-01,2.959879e-02,9.400959e-01,2.955402e+00,3.436470e-01,8.368655e-03,-4.415108e-01,1.859565e+00
sample11-195rpm-60kx-4,2.679838e-03,13,5.975842e-04,5.746002e-04,7.910273e+02,3.357389e+05,7.573449e-01,2.457216e+00,1.576258e-01,1.075883e-03,-2.073408e-01,1.703846e+00,7.877737e-01,3.240403e-02,-1.273129e+00,3.781777e+00,6.164864e-01,3.585944e-02,5.171932e-01,2.077838e+00,5.583875e-03,2.072559e-05,4.693750e-01,1.677459e+00,1.574070e+02,5.551551e+04,1.194569e+00,3.022055e+00,1.911677e+02,5.775020e+04,1.174493e+00,2.942453e+00,-3.170742e-01,5.124348e-01,-1.930014e-01,1.535084e+00,8.106079e+00,7.942570e+00,-3.278904e-02,2.011955e+00,1.487672e+01,3.301465e+01,3.612728e-01,1.867219e+00,6.615900e-01,1.830907e-02,4.596444e-01,1.633496e+00,5.335684e-01,4.504472e-02,6.172764e-01,2.524820e+00,3.721928e-01,1.413711e-03,3.967317e-01,1.838139e+00
sample11-195rpm-60kx-6,2.487163e-03,11,4.851093e-04,4.679935e-04,8.676368e+02,3.544658e+05,9.441660e-01,2.500894e+00,1.756052e-01,8.993189e-04,-6.231127e-01,2.152113e+00,7.258521e-01,4.565856e-02,-1.115760e+00,3.218539e+00,6.927678e-01,3.373626e-02,5.641463e-01,2.067456e+00,3.312774e-03,1.177126e-05,1.817955e+00,4.930149e+00,2.311808e+02,2.031926e+04,4.815073e-01,2.046481e+00,2.668211e+02,2.121817e+04,3.582164e-01,1.781868e+00,-7.369329e-02,1.031840e+00,-2.252605e-01,1.605733e+00,9.751135e+00,6.872463e+00,1.113455e-01,1.584148e+00,1.581404e+01,2.870274e+01,6.906623e-01,2.064093e+00,7.034160e-01,1.124562e-02,-2.210402e-01,1.769017e+00,6.478242e-01,5.525113e-02,1.937753e-01,1.688502e+00,3.648237e-01,1.662085e-03,8.558902e-01,2.844747e+00
sample11-195rpm-60kx-7,4.431024e-03,9,5.995403e-04,6.279036e-04,1.889243e+03,1.682505e+06,5.398115e-01,2.129289e+00,1.652571e-01,1.420767e-03,-4.250545e-01,2.817860e+00,7.686888e-01,2.380296e-02,-1.353054e+00,3.541354e+00,6.612620e-01,2.689956e-02,1.565534e+00,4.452659e+00,5.243714e-03,1.903081e-05,1.287671e+00,3.806567e+00,2.946439e+02,7.241095e+04,2.070543e-01,1.601109e+00,3.445496e+02,7.251777e+04,1.872034e-01,1.594624e+00,-3.932389e-02,8.948300e-01,1.370718e-01,2.076203e+00,1.374703e+01,2.172772e+01,1.847687e-01,2.384389e+00,2.307545e+01,7.749943e+01,-6.762709e-03,2.087970e+00,6.395924e-01,1.442513e-02,1.356266e-01,1.890166e+00,5.890459e-01,2.637510e-02,7.167093e-01,1.960185e+00,3.537127e-01,5.494413e-03,-7.349567e-01,2.553764e+00
sample11-195rpm-60kx-8,4.813927e-03,56,1.789330e-03,1.707174e-03,3.298662e+02,3.692274e+04,2.382122e+00,9.310344e+00,1.437728e-01,8.606702e-04,1.261503e-01,2.164401e+00,7.648030e-01,2.267668e-02,-7.974310e-01,2.588625e+00,6.635660e-01,2.756003e-02,1.755262e-02,2.338734e+00,9.880074e-03,2.139178e-04,3.689516e+00,1.908974e+01,1.116287e+02,5.422938e+03,8.397913e-01,3.240953e+00,1.356583e+02,5.422672e+03,8.907155e-01,3.308195e+00,1.849352e-01,5.746591e-01,-4.235477e-01,2.405396e+00,5.056102e+00,2.869510e+00,8.338095e-01,3.234784e+00,9.940379e+00,6.301062e+00,1.694383e+00,5.989176e+00,6.447043e-01,1.330058e-02,2.917334e-01,2.280491e+00,5.997699e-01,5.912327e-02,9.582333e-01,3.921087e+00,3.277498e-01,2.834173e-03,1.536945e-01,2.275768e+00
sample11-20rpm-60kx-10,1.039660e-03,8,2.606484e-04,2.435327e-04,4.986864e+02,4.004851e+04,1.273156e-01,1.583945e+00,1.779376e-01,9.147421e-04,-8.354926e-03,1.536922e+00,7.089819e-01,4.884795e-02,-6.577000e-01,2.244507e+00,6.793273e-01,4.796952e-02,1.403444e-01,1.548540e+00,1.263895e-03,6.818497e-07,9.897333e-01,2.563328e+00,2.028613e+02,4.105992e+04,8.709537e-01,2.440040e+00,2.308092e+02,4.107714e+04,8.275015e-01,2.392166e+00,-7.390102e-02,4.489509e-01,-8.224148e-01,2.549185e+00,7.794035e+00,3.223190e+00,-4.476132e-01,1.892890e+00,1.236566e+01,6.659714e+00,-4.972483e-02,1.617562e+00,7.020032e-01,8.502524e-03,-2.724368e-01,2.040327e+00,6.420521e-01,7.557949e-02,2.804619e-01,1.699972e+00,3.924118e-01,3.914581e-03,3.777303e-02,1.818424e+00
sample11-20rpm-60kx-12,6.900093e-03,9,9.941806e-04,9.844002e-04,2.941974e+03,8.056700e+06,8.076003e-01,2.464631e+00,1.339363e-01,1.676361e-03,2.104734e-02,1.770295e+00,8.222124e-01,5.430124e-03,-9.377583e-01,3.375492e+00,6.191516e-01,1.461036e-02,3.534257e-01,2.272176e+00,1.059473e-02,1.457790e-04,1.648142e+00,4.304726e+00,2.334232e+02,4.681080e+04,4.619983e-01,1.741263e+00,2.895497e+02,5.499071e+04,4.385119e-01,1.643052e+00,1.433630e-01,1.151526e+00,-6.038752e-01,1.822469e+00,1.370593e+01,5.020662e+01,-6.408710e-01,1.971949e+00,2.651927e+01,2.623361e+02,4.408133e-02,1.974409e+00,6.042007e-01,3.205635e-02,5.884792e-01,2.909503e+00,5.360596e-01,4.940288e-02,7.697650e-01,2.410163e+00,3.227123e-01,9.091823e-03,4.653575e-01,2.275300e+00
sample11-20rpm-60kx-13,2.650985e-03,13,5.579735e-04,5.335224e-04,7.825108e+02,4.791077e+05,1.696181e+00,5.474672e+00,1.711886e-01,1.327259e-03,-2.954409e-01,1.949177e+00,7.583277e-01,4.660600e-02,-1.459867e+00,4.056476e+00,6.555300e-01,2.996683e-02,4.880092e-01,2.129306e+00,4.589051e-03,2.503413e-05,1.602982e+00,4.054518e+00,3.094355e+01,2.184698e+03,2.061848e+00,5.534344e+00,6.370968e+01,2.208447e+03,1.787300e+00,4.465619e+00,6.151408e-02,6.150996e-01,-6.726810e-01,2.804568e+00,8.816349e+00,8.057125e+00,4.644817e-01,2.066752e+00,1.463287e+01,3.787346e+01,9.945053e-01,3.319054e+00,6.797563e-01,1.365679e-02,-3.248738e-01,1.878483e+00,6.919025e-01,1.243676e-01,2.744863e-01,1.384796e+00,3.647160e-01,1.446418e-03,6.143004e-02,2.041793e+00
sample11-20rpm-60kx-19,4.084307e-03,28,1.022544e-03,9.643503e-04,5.597405e+02,1.498830e+05,2.147218e+00,8.012690e+00,1.690270e-01,8.354341e-04,5.272918e-02,1.869622e+00,7.740241e-01,2.062325e-02,-9.695589e-01,3.141513e+00,6.728509e-01,2.215908e-02,-3.509873e-01,2.077797e+00,3.206896e-02,3.598879e-03,2.506852e+00,8.287514e+00,9.353091e+01,3.753278e+04,2.716043e+00,9.258657e+00,1.211274e+02,3.722874e+04,2.732468e+00,9.328509e+00,1.867075e-01,1.061136e+00,-2.450176e-01,1.510199e+00,7.351249e+00,4.145408e+00,1.363751e+00,5.664951e+00,1.276580e+01,1.576833e+01,1.265149e+00,4.901106e+00,6.718243e-01,1.312656e-02,-2.564990e-02,1.654655e+00,6.972898e-01,6.126891e-02,5.080271e-01,2.559442e+00,3.484407e-01,2.195803e-03,-7.987531e-01,3.710206e+00
sample11-20rpm-60kx-2,4.632989e-03,19,9.506577e-04,9.403883e-04,9.356945e+02,5.257204e+05,1.486410e+00,6.120614e+00,1.563785e-01,1.252861e-03,-2.242464e-01,1.884702e+00,8.083322e-01,2.180213e-02,-1.409029e+00,4.419519e+00,6.135805e-01,2.527750e-02,7.179733e-01,2.604640e+00,4.608485e-02,5.751112e-03,1.713707e+00,4.525753e+00,9.937676e+01,2.289424e+04,1.291725e+00,2.963665e+00,1.322418e+02,2.346578e+04,1.239484e+00,2.817131e+00,2.657010e-01,6.163330e-01,-5.850494e-01,2.051589e+00,8.793181e+00,9.395850e+00,-8.009594e-02,1.702511e+00,1.604495e+01,4.264480e+01,3.457215e-01,2.937680e+00,6.449155e-01,1.947349e-02,-1.836409e-01,2.239114e+00,5.520130e-01,5.794211e-02,4.373774e-01,1.762316e+00,3.608002e-01,1.449456e-03,2.643501e-01,2.528305e+00
sample11-20rpm-60kx-20,1.134432e-02,4,1.392244e-03,1.401536e-03,1.088290e+04,7.130435e+07,-2.053318e-01,1.859517e+00,8.363162e-02,1.334012e-03,8.088756e-01,2.006036e+00,9.136067e-01,3.742084e-03,6.362281e-02,1.391340e+00,4.618419e-01,2.833169e-02,-5.325114e-01,1.700003e+00,1.266686e-02,6.520141e-05,-6.564849e-01,2.090852e+00,1.287276e+02,2.316801e+04,7.041613e-01,1.875053e+00,3.277790e+02,7.883293e+04,1.246325e-01,1.164413e+00,7.636521e-01,1.676199e-01,9.602422e-01,2.195405e+00,1.798525e+01,1.091470e+02,-2.789426e-01,1.628326e+00,5.234389e+01,9.656715e+02,-7.548728e-01,2.070655e+00,4.778763e-01,1.635921e-02,9.846469e-01,2.198213e+00,3.306815e-01,2.981146e-02,3.858006e-02,1.863209e+00,2.552446e-01,9.911219e-03,8.310100e-01,2.015871e+00
sample11-20rpm-60kx-21,1.088415e-02,7,1.054819e-03,1.071446e-03,5.966544e+03,8.234158e+07,9.419590e-01,1.906362e+00,1.508020e-01,3.480097e-03,-2.671329e-01,1.374289e+00,7.424722e-01,2.939807e-02,1.435566e-02,1.589327e+00,6.520611e-01,4.342442e-02,-2.229032e-01,1.265580e+00,1.984168e-02,1.123619e-03,1.370235e+00,3.281216e+00,2.595712e+02,1.001075e+05,8.471535e-01,2.150740e+00,3.539884e+02,7.340345e+04,9.658276e-01,2.171450e+00,2.814192e-01,3.701442e-01,-9.999217e-01,2.715825e+00,1.547893e+01,1.608276e+02,9.095972e-01,2.094330e+00,3.184351e+01,1.032734e+03,8.608889e-01,1.858539e+00,6.749376e-01,1.653377e-02,5.521838e-01,1.664476e+00,5.889635e-01,6.577864e-02,-1.618660e-01,1.207338e+00,3.302438e-01,7.060594e-03,-3.529412e-01,1.596170e+00
sample11-20rpm-60kx-22,2.660277e-03,6,4.454986e-04,4.406083e-04,1.701382e+03,5.303420e+06,1.394277e+00,3.338842e+00,1.660147e-01,2.652865e-03,-9.757330e-01,2.445008e+00,7.833842e-01,1.994069e-02,-4.653228e-01,2.626253e+00,6.295842e-01,3.024927e-02,-9.105434e-01,2.938983e+00,5.792849e-03,6.028568e-05,7.759336e-01,1.717645e+00,4.380682e+02,2.634322e+05,1.232338e+00,3.318794e+00,4.877174e+02,2.514428e+05,1.193898e+00,3.263039e+00,5.832139e-01,3.556963e-01,-8.153929e-01,2.927089e+00,9.752883e+00,1.308589e+01,2.013288e-01,2.184708e+00,1.958888e+01,1.894113e+02,1.062764e+00,2.620822e+00,6.529648e-01,1.849024e-02,-4.588190e-01,1.762015e+00,6.417195e-01,8.958657e-02,-7.019418e-02,2.246558e+00,3.550965e-01,3.008847e-03,5.769491e-02,2.018566e+00
