sample_name,R_vfs,R_n,R_intph0,R_intph1,R_area_m,R_area_v,R_area_s,R_area_k,R_comp_m,R_comp_v,R_comp_s,R_comp_k,R_eccen_m,R_eccen_v,R_eccen_s,R_eccen_k,R_els_m,R_els_v,R_els_s,R_els_k,P_locvf_m,P_locvf_v,P_locvf_s,P_locvf_k,P_nbd_m,P_nbd_v,P_nbd_s,P_nbd_k,P_ncd_m,P_ncd_v,P_ncd_s,P_ncd_k,P_ornang_m,P_ornang_v,P_ornang_s,P_ornang_k,P_pores_m,P_pores_v,P_pores_s,P_pores_k,P_rc_m,P_rc_v,P_rc_s,P_rc_k,P_rctan_m,P_rctan_v,P_rctan_s,P_rctan_k,P_rnds_m,P_rnds_v,P_rnds_s,P_rnds_k,P_ttst_m,P_ttst_v,P_ttst_s,P_ttst_k
sample11-100rpm-60kx-10,5.474595e-03,6,6.102988e-04,6.034525e-04,3.501282e+03,2.326215e+07,1.252794e+00,3.027789e+00,1.589536e-01,2.464506e-03,-3.988781e-01,1.919605e+00,7.023095e-01,5.212081e-02,-2.584985e-01,1.533600e+00,6.896289e-01,4.819895e-02,-2.931040e-01,1.491301e+00,4.743713e-03,4.029921e-05,1.289698e+00,3.090690e+00,4.241763e+02,2.765630e+04,1.362771e-02,1.154252e+00,4.879101e+02,2.141266e+04,-1.743790e-01,1.293567e+00,5.548187e-01,7.148742e-01,-1.454364e+00,3.616333e+00,1.433628e+01,8.588555e+01,9.663039e-01,2.537713e+00,2.701993e+01,4.612993e+02,8.104258e-01,2.227093e+00,7.150166e-01,1.531500e-02,3.635694e-01,1.461607e+00,6.868925e-01,8.715001e-02,3.606875e-01,1.790767e+00,3.351418e-01,6.669687e-03,-4.623284e-01,1.575645e+00
sample11-100rpm-60kx-11,7.496699e-04,6,2.107683e-04,1.995208e-04,4.794521e+02,6.104287e+04,9.302977e-01,2.805554e+00,1.652673e-01,1.077611e-03,5.290996e-01,1.907868e+00,7.101730e-01,7.991585e-02,-7.417142e-01,1.798318e+00,6.963372e-01,4.392925e-02,1.819599e-01,1.737403e+00,1.558303e-03,3.908530e-06,1.554215e+00,3.738502e+00,1.454143e+02,8.703020e+04,1.703523e+00,4.029646e+00,1.725932e+02,8.640105e+04,1.715222e+00,4.054152e+00,-6.946555e-01,1.161448e+00,1.187720e+00,2.891610e+00,7.431189e+00,1.287814e+00,-1.293837e-01,1.697807e+00,1.203781e+01,9.246653e+00,5.835279e-01,2.460355e+00,6.277963e-01,1.418464e-02,9.299239e-01,2.920092e+00,6.938524e-01,7.744786e-02,3.959587e-01,2.164158e+00,3.440774e-01,2.842342e-03,1.477712e-01,1.973274e+00
sample11-100rpm-60kx-13,1.075456e-02,18,1.251406e-03,1.226955e-03,2.292696e+03,1.434439e+07,2.302802e+00,7.585263e+00,1.674107e-01,1.770347e-03,-3.675158e-01,2.460517e+00,7.670580e-01,3.867499e-02,-1.108014e+00,3.704303e+00,6.408918e-01,3.954540e-02,3.132847e-01,1.957083e+00,8.356191e-02,2.398777e-02,2.187958e+00,6.758799e+00,8.980771e+01,3.915665e+04,2.643406e+00,9.079751e+00,1.365676e+02,4.020316e+04,2.477226e+00,8.299419e+00,-2.809044e-02,8.429113e-01,4.065059e-01,2.007335e+00,1.224654e+01,9.850470e+01,1.980829e+00,6.119888e+00,2.128694e+01,2.929279e+02,1.556863e+00,4.412725e+00,6.851929e-01,2.787375e-02,-4.967140e-01,2.625349e+00,5.852212e-01,7.662223e-02,5.262096e-01,2.317063e+00,3.757357e-01,2.220344e-03,-1.664453e+00,5.899094e+00
sample11-100rpm-60kx-16,3.122402e-03,4,4.567461e-04,4.508778e-04,2.995403e+03,1.872407e+07,1.136758e+00,2.318606e+00,1.570962e-01,3.863440e-03,-5.708979e-01,1.783173e+00,7.914036e-01,4.185624e-02,-1.147693e+00,2.328137e+00,5.849161e-01,3.885516e-02,9.214301e-01,2.141263e+00,7.242255e-03,1.125173e-04,1.116019e+00,2.300793e+00,4.070268e+02,6.329837e+05,1.154684e+00,2.333320e+00,5.097263e+02,5.737107e+05,1.154203e+00,2.332946e+00,-8.025230e-01,2.714162e-01,-8.210813e-01,2.016051e+00,1.149190e+01,1.281845e+01,6.717005e-01,1.958329e+00,2.577241e+01,3.856653e+02,1.080946e+00,2.269074e+00,6.641523e-01,5.859550e-02,-1.329521e-01,1.178665e+00,7.406318e-01,3.204520e-01,3.638763e-01,1.541399e+00,3.226108e-01,5.562844e-03,-2.397022e-03,1.003432e+00
sample11-100rpm-60kx-17,2.544379e-03,7,4.352291e-04,4.230036e-04,1.394794e+03,1.869964e+06,1.414086e+00,3.833656e+00,1.667920e-01,1.989529e-03,-3.527547e-01,2.144840e+00,8.157056e-01,2.905995e-02,-1.218630e+00,3.438319e+00,5.693574e-01,3.111740e-02,4.183834e-01,2.246336e+00,6.237072e-03,1.145424e-04,1.932114e+00,4.927972e+00,1.438206e+02,2.661759e+04,4.815528e-01,1.509666e+00,1.770934e+02,2.892891e+04,4.939125e-01,1.583545e+00,6.561533e-01,2.091135e-01,2.792605e-01,1.732832e+00,1.035181e+01,1.071528e+01,3.312265e-01,1.722346e+00,1.916380e+01,8.951289e+01,7.578536e-01,2.808806e+00,6.826588e-01,2.140081e-02,-9.028523e-01,3.114499e+00,6.601955e-01,1.270771e-01,-1.662444e-01,1.384449e+00,3.667686e-01,5.352220e-03,-3.257130e-01,2.042751e+00
sample11-100rpm-60kx-18,6.875642e-03,9,8.548095e-04,8.386718e-04,2.931549e+03,1.115109e+07,1.150172e+00,2.850325e+00,1.437436e-01,1.048639e-03,-3.810820e-01,2.393716e+00,8.774059e-01,9.246949e-03,-5.753423e-01,1.791313e+00,5.061949e-01,1.837186e-02,-1.845737e-02,1.514900e+00,1.624425e-02,3.879676e-04,1.943324e+00,5.678620e+00,1.152269e+02,5.595281e+04,2.069333e+00,5.735146e+00,1.590845e+02,6.387683e+04,2.162041e+00,6.079624e+00,7.125425e-01,2.303111e-01,-4.867004e-01,2.024118e+00,1.396376e+01,6.211876e+01,4.142694e-02,1.463198e+00,2.623122e+01,2.756967e+02,6.453466e-01,2.166266e+00,6.218291e-01,1.151287e-02,-8.875257e-02,1.972127e+00,4.726376e-01,4.249880e-02,4.051666e-01,2.261328e+00,3.632173e-01,2.259846e-03,2.865321e-01,1.670743e+00
sample11-100rpm-60kx-2,4.962101e-03,5,7.056580e-04,7.252188e-04,3.808219e+03,9.528781e+06,-1.157415e-01,1.467132e+00,1.199462e-01,1.668664e-03,-2.623537e-01,2.354317e+00,8.122545e-01,2.423067e-02,-1.869294e-01,1.333187e+00,5.514310e-01,5.617684e-02,-3.195169e-01,1.700023e+00,6.998810e-03,4.539446e-05,3.563867e-01,1.232561e+00,4.836083e+02,2.374192e+05,2.523624e-01,1.599690e+00,5.827307e+02,2.337854e+05,1.348842e-01,1.480274e+00,4.708306e-02,1.283578e-01,-8.062596e-01,2.155032e+00,1.503172e+01,1.017778e+02,8.660308e-01,2.367927e+00,3.119632e+01,2.987290e+02,-4.058956e-01,1.510805e+00,5.659292e-01,1.493194e-02,-1.901003e-01,1.706380e+00,3.702991e-01,2.630614e-02,6.250706e-01,2.291793e+00,3.362868e-01,1.385388e-02,-6.975278e-01,2.047599e+00
sample11-100rpm-60kx-21,1.413810e-02,15,1.537483e-03,1.524769e-03,3.616814e+03,1.138960e+08,3.412982e+00,1.279804e+01,1.685667e-01,1.845912e-03,-1.213173e+00,4.781915e+00,8.142564e-01,3.167791e-02,-1.014067e+00,3.240459e+00,5.440476e-01,5.602458e-02,-5.835397e-02,1.928109e+00,8.724955e-02,1.651275e-02,1.328768e+00,3.359943e+00,3.912078e+01,2.159272e+03,2.102718e+00,7.006899e+00,9.832372e+01,6.691052e+03,9.539053e-01,2.492173e+00,-1.125161e-01,8.046214e-01,-4.079921e-01,1.724368e+00,9.037101e+00,3.004816e+01,1.803797e+00,5.463377e+00,2.120520e+01,7.517218e+02,2.974991e+00,1.079025e+01,7.155176e-01,1.403649e-02,-9.093129e-01,3.939487e+00,5.387440e-01,8.472315e-02,6.912662e-02,1.591553e+00,4.133844e-01,2.504130e-03,-1.251887e-01,1.900555e+00
sample11-100rpm-60kx-25,1.293902e-02,20,1.394200e-03,1.392733e-03,2.482548e+03,2.341819e+07,2.388124e+00,7.597481e+00,1.702908e-01,1.606818e-03,-5.773526e-01,2.289035e+00,7.688275e-01,4.701710e-02,-1.207945e+00,3.457905e+00,6.097728e-01,4.682707e-02,1.970910e-01,1.929812e+00,1.858856e-02,4.298242e-04,1.466452e+00,4.064360e+00,9.818309e+01,1.871436e+04,1.721508e+00,5.043066e+00,1.461927e+02,2.115010e+04,1.656579e+00,4.733502e+00,4.750221e-01,5.816005e-01,-1.158010e+00,3.735468e+00,1.133193e+01,7.756749e+01,1.678445e+00,4.542845e+00,2.058959e+01,3.855666e+02,1.858785e+00,5.172553e+00,6.805150e-01,2.042607e-02,-6.737265e-01,2.301849e+00,6.464867e-01,1.112421e-01,3.137968e-01,1.731360e+00,3.731598e-01,3.976470e-03,-6.866495e-01,3.210931e+00
sample11-100rpm-60kx-27,1.276835e-03,8,2.816764e-04,2.660277e-04,6.124507e+02,8.587347e+04,-1.543084e-01,1.458822e+00,1.838201e-01,1.204502e-03,-5.043198e-01,1.868678e+00,7.046499e-01,3.283039e-02,-7.833284e-01,2.346190e+00,7.071512e-01,2.552739e-02,-4.008929e-02,1.667511e+00,2.699878e-03,1.045455e-05,1.291612e+00,3.082227e+00,1.379508e+02,7.818072e+04,2.079962e+00,5.604751e+00,1.668770e+02,7.651822e+04,2.060658e+00,5.541970e+00,-8.379081e-01,3.155204e-01,1.399924e+00,4.164939e+00,8.839652e+00,4.524010e+00,1.953142e-01,1.928221e+00,1.355646e+01,1.276752e+01,-3.317219e-01,1.581089e+00,7.129627e-01,2.373803e-02,-5.452925e-01,1.910047e+00,7.521799e-01,7.594265e-02,8.511807e-03,1.908215e+00,3.684757e-01,5.616579e-04,8.291343e-03,1.823369e+00
sample11-100rpm-60kx-3,1.393173e-02,7,9.012666e-04,9.487016e-04,7.637187e+03,2.559030e+08,1.991351e+00,5.052090e+00,1.503476e-01,1.790707e-03,-2.967433e-01,1.519436e+00,7.677600e-01,1.448300e-02,4.021173e-01,2.175029e+00,6.466618e-01,3.552616e-02,-9.737601e-01,3.096742e+00,1.730750e-02,1.002930e-03,1.866831e+00,4.766759e+00,1.953523e+02,7.213311e+04,1.145231e+00,2.914763e+00,2.823622e+02,5.622600e+04,9.498429e-01,3.007787e+00,-1.920338e-01,8.004712e-01,-2.557291e-01,1.450101e+00,1.874667e+01,4.069034e+02,1.578911e+00,4.035263e+00,3.365906e+01,1.514403e+03,1.694646e+00,4.365913e+00,7.109750e-01,1.060057e-02,-5.360358e-01,2.098954e+00,6.121617e-01,4.156829e-02,-1.039610e+00,2.877237e+00,3.380358e-01,8.669216e-03,-6.500919e-01,1.697850e+00
