sample_name,R_vfs,R_n,R_intph0,R_intph1,R_area_m,R_area_v,R_comp_m,R_comp_v,R_eccen_m,R_eccen_v,R_els_m,R_els_v,P_locvf_m,P_locvf_v,P_nbd_m,P_nbd_v,P_ncd_m,P_ncd_v,P_ornang_m,P_ornang_v,P_pores_m,P_pores_v,P_rc_m,P_rc_v,P_rctan_m,P_rctan_v,P_rnds_m,P_rnds_v,P_ttst_m,P_ttst_v
sample10-20rpm-60kx-4,5.212480e-03,54,1.499829e-03,1.401047e-03,3.704051e+02,7.570392e+04,1.801434e-01,6.598165e-04,7.342497e-01,2.858530e-02,6.682086e-01,2.599763e-02,1.845743e-02,1.188453e-03,9.887287e+01,1.398051e+04,1.225589e+02,1.411874e+04,-2.532545e-01,9.916543e-01,6.477479e+00,3.703445e+00,1.040845e+01,9.748382e+00,7.287393e-01,9.422368e-03,7.233204e-01,6.246052e-02,3.701982e-01,2.381393e-03
sample10-20rpm-60kx-5,8.024842e-04,7,2.019659e-04,1.863172e-04,4.399110e+02,1.392373e+05,1.868788e-01,8.582710e-04,6.830519e-01,3.362124e-02,7.011232e-01,2.309608e-02,1.121942e-03,2.010636e-06,2.667519e+02,1.741986e+05,2.944770e+02,1.742718e+05,-2.259600e-01,9.033260e-01,7.716459e+00,5.906047e+00,1.123500e+01,1.610329e+01,7.477001e-01,1.400151e-02,7.801319e-01,1.137946e-01,3.797066e-01,1.019447e-03
sample10-20rpm-60kx-7,6.717688e-03,44,1.439679e-03,1.366326e-03,5.858595e+02,1908375,1.663129e-01,5.776178e-04,7.742014e-01,3.197637e-02,6.126812e-01,3.152518e-02,1.453732e-02,9.863843e-04,8.199114e+01,5.592148e+03,1.121041e+02,5.109522e+03,4.869481e-01,9.015698e-01,6.938613e+00,1.877094e+01,1.167327e+01,5.138757e+01,7.096179e-01,9.176678e-03,6.725628e-01,5.483458e-02,3.560851e-01,1.784424e-03
sample10-20rpm-60kx-9,1.376693e-02,77,3.431464e-03,3.332681e-03,6.860769e+02,452184,1.456908e-01,1.117995e-03,7.983590e-01,1.920566e-02,6.254867e-01,1.979858e-02,2.573543e-02,1.196939e-03,7.872546e+01,4.540869e+03,1.117573e+02,4.476550e+03,-3.598168e-01,9.465275e-01,7.629155e+00,1.033811e+01,1.366987e+01,3.193442e+01,6.413557e-01,1.183918e-02,6.169769e-01,4.489993e-02,3.231677e-01,4.102951e-03
sample11-100rpm-60kx-1,7.930950e-03,8,9.702186e-04,9.809771e-04,3.804185e+03,20020550,1.330989e-01,1.380254e-03,7.607695e-01,1.528914e-02,6.872387e-01,2.529836e-02,2.763892e-02,2.880737e-03,1.960867e+02,9.607723e+04,2.680122e+02,1.116611e+05,-1.093845e-01,6.875507e-01,1.595006e+01,9.018652e+01,2.951258e+01,3.884767e+02,6.022583e-01,1.422969e-02,5.895249e-01,2.179400e-02,2.979396e-01,8.602275e-03
sample11-100rpm-60kx-10,5.474595e-03,6,6.102988e-04,6.034525e-04,3.501282e+03,23262150,1.589536e-01,2.464506e-03,7.023095e-01,5.212081e-02,6.896289e-01,4.819895e-02,4.743713e-03,4.029921e-05,4.241763e+02,2.765630e+04,4.879101e+02,2.141266e+04,5.548187e-01,7.148742e-01,1.433628e+01,8.588555e+01,2.701993e+01,4.612993e+02,7.150166e-01,1.531500e-02,6.868925e-01,8.715001e-02,3.351418e-01,6.669687e-03
sample11-100rpm-60kx-11,7.496699e-04,6,2.107683e-04,1.995208e-04,4.794521e+02,6.104287e+04,1.652673e-01,1.077611e-03,7.101730e-01,7.991585e-02,6.963372e-01,4.392925e-02,1.558303e-03,3.908530e-06,1.454143e+02,8.703020e+04,1.725932e+02,8.640105e+04,-6.946555e-01,1.161448e+00,7.431189e+00,1.287814e+00,1.203781e+01,9.246653e+00,6.277963e-01,1.418464e-02,6.938524e-01,7.744786e-02,3.440774e-01,2.842342e-03
sample11-100rpm-60kx-13,1.075456e-02,18,1.251406e-03,1.226955e-03,2.292696e+03,14344390,1.674107e-01,1.770347e-03,7.670580e-01,3.867499e-02,6.408918e-01,3.954540e-02,8.356191e-02,2.398777e-02,8.980771e+01,3.915665e+04,1.365676e+02,4.020316e+04,-2.809044e-02,8.429113e-01,1.224654e+01,9.850470e+01,2.128694e+01,2.929279e+02,6.851929e-01,2.787375e-02,5.852212e-01,7.662223e-02,3.757357e-01,2.220344e-03
sample11-100rpm-60kx-16,3.122402e-03,4,4.567461e-04,4.508778e-04,2.995403e+03,18724070,1.570962e-01,3.863440e-03,7.914036e-01,4.185624e-02,5.849161e-01,3.885516e-02,7.242255e-03,1.125173e-04,4.070268e+02,6.329837e+05,5.097263e+02,5.737107e+05,-8.025230e-01,2.714162e-01,1.149190e+01,1.281845e+01,2.577241e+01,3.856653e+02,6.641523e-01,5.859550e-02,7.406318e-01,3.204520e-01,3.226108e-01,5.562844e-03
sample11-100rpm-60kx-17,2.544379e-03,7,4.352291e-04,4.230036e-04,1.394794e+03,1869964,1.667920e-01,1.989529e-03,8.157056e-01,2.905995e-02,5.693574e-01,3.111740e-02,6.237072e-03,1.145424e-04,1.438206e+02,2.661759e+04,1.770934e+02,2.892891e+04,6.561533e-01,2.091135e-01,1.035181e+01,1.071528e+01,1.916380e+01,8.951289e+01,6.826588e-01,2.140081e-02,6.601955e-01,1.270771e-01,3.667686e-01,5.352220e-03
sample11-100rpm-60kx-18,6.875642e-03,9,8.548095e-04,8.386718e-04,2.931549e+03,11151090,1.437436e-01,1.048639e-03,8.774059e-01,9.246949e-03,5.061949e-01,1.837186e-02,1.624425e-02,3.879676e-04,1.152269e+02,5.595281e+04,1.590845e+02,6.387683e+04,7.125425e-01,2.303111e-01,1.396376e+01,6.211876e+01,2.623122e+01,2.756967e+02,6.218291e-01,1.151287e-02,4.726376e-01,4.249880e-02,3.632173e-01,2.259846e-03
sample11-100rpm-60kx-2,4.962101e-03,5,7.056580e-04,7.252188e-04,3.808219e+03,9528781,1.199462e-01,1.668664e-03,8.122545e-01,2.423067e-02,5.514310e-01,5.617684e-02,6.998810e-03,4.539446e-05,4.836083e+02,2.374192e+05,5.827307e+02,2.337854e+05,4.708306e-02,1.283578e-01,1.503172e+01,1.017778e+02,3.119632e+01,2.987290e+02,5.659292e-01,1.493194e-02,3.702991e-01,2.630614e-02,3.362868e-01,1.385388e-02
sample11-100rpm-60kx-21,1.413810e-02,15,1.537483e-03,1.524769e-03,3.616814e+03,113896000,1.685667e-01,1.845912e-03,8.142564e-01,3.167791e-02,5.440476e-01,5.602458e-02,8.724955e-02,1.651275e-02,3.912078e+01,2.159272e+03,9.832372e+01,6.691052e+03,-1.125161e-01,8.046214e-01,9.037101e+00,3.004816e+01,2.120520e+01,7.517218e+02,7.155176e-01,1.403649e-02,5.387440e-01,8.472315e-02,4.133844e-01,2.504130e-03
sample11-100rpm-60kx-25,1.293902e-02,20,1.394200e-03,1.392733e-03,2.482548e+03,23418190,1.702908e-01,1.606818e-03,7.688275e-01,4.701710e-02,6.097728e-01,4.682707e-02,1.858856e-02,4.298242e-04,9.818309e+01,1.871436e+04,1.461927e+02,2.115010e+04,4.750221e-01,5.816005e-01,1.133193e+01,7.756749e+01,2.058959e+01,3.855666e+02,6.805150e-01,2.042607e-02,6.464867e-01,1.112421e-01,3.731598e-01,3.976470e-03
sample11-100rpm-60kx-27,1.276835e-03,8,2.816764e-04,2.660277e-04,6.124507e+02,8.587347e+04,1.838201e-01,1.204502e-03,7.046499e-01,3.283039e-02,7.071512e-01,2.552739e-02,2.699878e-03,1.045455e-05,1.379508e+02,7.818072e+04,1.668770e+02,7.651822e+04,-8.379081e-01,3.155204e-01,8.839652e+00,4.524010e+00,1.355646e+01,1.276752e+01,7.129627e-01,2.373803e-02,7.521799e-01,7.594265e-02,3.684757e-01,5.616579e-04
sample11-100rpm-60kx-3,1.393173e-02,7,9.012666e-04,9.487016e-04,7.637187e+03,255903000,1.503476e-01,1.790707e-03,7.677600e-01,1.448300e-02,6.466618e-01,3.552616e-02,1.730750e-02,1.002930e-03,1.953523e+02,7.213311e+04,2.823622e+02,56226,-1.920338e-01,8.004712e-01,1.874667e+01,4.069034e+02,3.365906e+01,1.514403e+03,7.109750e-01,1.060057e-02,6.121617e-01,4.156829e-02,3.380358e-01,8.669216e-03
sample11-100rpm-60kx-31,3.168859e-03,16,6.156780e-04,6.029635e-04,7.599925e+02,2.938806e+05,1.793343e-01,8.006299e-04,7.884872e-01,2.053495e-02,6.161024e-01,2.432723e-02,6.207072e-03,3.551227e-05,2.351626e+02,7.900227e+04,2.678711e+02,7.959021e+04,-2.789188e-01,6.817071e-01,8.857247e+00,5.891892e+00,1.469557e+01,2.768362e+01,7.243913e-01,1.163545e-02,6.355110e-01,7.438307e-02,3.830631e-01,1.689828e-03
sample11-100rpm-60kx-33,2.701844e-03,9,4.714167e-04,4.543009e-04,1.151978e+03,2787670,1.696300e-01,1.531927e-03,8.204254e-01,3.272747e-02,5.201925e-01,5.009947e-02,3.246910e-03,1.482327e-05,2.696346e+02,4.993313e+04,3.331622e+02,5.014616e+04,-1.754283e-01,7.513552e-02,8.879322e+00,1.943707e+01,1.630326e+01,1.135006e+02,7.458170e-01,1.269836e-02,4.931948e-01,6.436981e-02,4.229242e-01,1.703479e-03
sample11-100rpm-60kx-4,5.523497e-03,11,7.325542e-04,7.237518e-04,1.926850e+03,8081110,1.569777e-01,8.771583e-04,8.474277e-01,1.880618e-02,5.601410e-01,2.530501e-02,6.798124e-03,3.040469e-05,1.983040e+02,3.043459e+04,2.507754e+02,3.965519e+04,5.028740e-01,1.232795e-01,1.178176e+01,5.391445e+01,2.090191e+01,1.940900e+02,6.508578e-01,1.040368e-02,4.843084e-01,5.866819e-02,3.909841e-01,3.852190e-03
sample11-100rpm-60kx-5,5.868258e-04,3,1.110079e-04,1.051396e-04,7.506099e+02,1.126443e+05,1.887613e-01,1.403098e-04,7.853758e-01,1.660458e-03,6.737631e-01,1.455428e-03,5.988913e-04,2.392501e-08,1.202088e+03,5.016594e+04,1.233688e+03,5.431729e+04,-2.122407e-01,2.077034e+00,9.952947e+00,9.036324e+00,1.518900e+01,1.233109e+01,7.717227e-01,1.754753e-02,8.210131e-01,9.748292e-03,3.427555e-01,2.204868e-03
sample11-100rpm-60kx-6,8.481588e-03,18,1.266077e-03,1.239180e-03,1.808136e+03,4407273,1.540936e-01,1.380079e-03,8.023102e-01,2.972587e-02,5.998191e-01,4.583899e-02,1.897903e-02,9.943941e-04,1.352396e+02,4.148620e+04,1.851132e+02,4.197074e+04,2.990581e-01,3.834493e-01,1.134458e+01,2.985761e+01,2.087221e+01,1.481278e+02,6.481592e-01,1.102332e-02,5.466685e-01,7.313995e-02,3.640954e-01,2.071565e-03
sample11-100rpm-60kx-8,6.498606e-03,5,4.826642e-04,4.934227e-04,4.987427e+03,99963980,1.518796e-01,1.078830e-03,8.448517e-01,8.809700e-03,5.494246e-01,3.552539e-02,7.573165e-03,1.772493e-04,2.762225e+02,5.713393e+04,3.310159e+02,5.306154e+04,1.928712e-01,1.037382e+00,1.360609e+01,2.325635e+02,2.702393e+01,1.071568e+03,7.011594e-01,1.136613e-02,5.895274e-01,2.795056e-02,3.353299e-01,3.561334e-03
sample11-195rpm-60kx-1,9.014622e-03,15,1.169739e-03,1.169739e-03,2.306124e+03,9020861,1.545495e-01,1.146343e-03,7.616008e-01,3.138359e-02,6.444831e-01,3.549512e-02,2.077856e-02,9.206607e-04,2.254698e+02,2.521611e+04,2.802540e+02,2.794494e+04,2.241753e-01,1.557309e-01,1.330746e+01,3.289849e+01,2.397687e+01,1.705412e+02,6.519615e-01,1.000869e-02,5.354630e-01,4.054445e-02,3.550868e-01,2.421957e-03
sample11-195rpm-60kx-11,7.811629e-03,8,8.616558e-04,9.599491e-04,3.746951e+03,16068550,1.488772e-01,2.366755e-03,7.569050e-01,1.724766e-02,6.637132e-01,2.046361e-02,3.086866e-02,3.131656e-03,1.188083e+02,8.406164e+04,1.662113e+02,9.372483e+04,7.490094e-01,3.094214e-01,1.513973e+01,1.165657e+02,2.875363e+01,4.181945e+02,6.105592e-01,2.128502e-02,5.721573e-01,4.980037e-02,3.258724e-01,5.638650e-03
sample11-195rpm-60kx-12,5.036432e-02,72,6.668297e-03,6.888356e-03,2.684212e+03,46008760,1.298748e-01,1.723058e-03,8.019900e-01,1.511848e-02,6.206139e-01,2.466927e-02,5.795150e-02,5.440271e-03,7.573927e+01,6.108478e+03,1.258992e+02,6.412920e+03,-6.210124e-02,7.019069e-01,1.029453e+01,9.146807e+01,2.070290e+01,4.317983e+02,5.994695e-01,1.618174e-02,5.260121e-01,4.304274e-02,3.040130e-01,4.970504e-03
sample11-195rpm-60kx-13,2.529415e-02,67,4.394836e-03,4.500465e-03,1.448677e+03,6585838,1.323730e-01,1.056129e-03,8.088217e-01,1.678054e-02,6.245571e-01,2.201660e-02,4.283723e-02,2.801420e-03,6.530681e+01,6.815989e+03,1.061727e+02,6.503995e+03,1.165245e-01,7.521101e-01,8.713768e+00,3.630739e+01,1.733091e+01,1.632038e+02,5.980206e-01,1.386931e-02,5.459478e-01,4.552412e-02,3.130929e-01,6.043387e-03
sample11-195rpm-60kx-14,1.546286e-02,11,1.110568e-03,1.171695e-03,5.394155e+03,60992380,1.559670e-01,5.605909e-04,7.607337e-01,1.830757e-02,7.004204e-01,1.528579e-02,2.451349e-02,1.730197e-03,2.739852e+02,9.514105e+04,3.510875e+02,8.710648e+04,1.898053e-01,8.635695e-01,2.077652e+01,1.748226e+02,3.403889e+01,6.142036e+02,6.548777e-01,4.437557e-03,6.517727e-01,3.769911e-02,3.212907e-01,2.287112e-03
sample11-195rpm-60kx-19,1.236393e-02,11,1.268033e-03,1.304709e-03,4.313107e+03,65161620,1.472052e-01,1.947896e-03,7.917109e-01,1.793003e-02,6.484457e-01,1.928599e-02,3.991429e-02,2.878992e-03,1.145801e+02,3.341104e+04,1.617353e+02,3.220076e+04,-1.766746e-01,7.741258e-01,1.463322e+01,1.733505e+02,2.807571e+01,6.431248e+02,6.329918e-01,2.241816e-02,6.141205e-01,6.495707e-02,3.164489e-01,7.234184e-03
sample11-195rpm-60kx-22,5.944056e-03,11,9.154482e-04,9.193604e-04,2.073560e+03,2331022,1.461332e-01,1.266655e-03,7.687029e-01,1.610663e-02,6.684933e-01,2.044045e-02,8.251716e-02,4.447663e-02,1.662056e+02,6.658175e+04,2.181335e+02,6.613615e+04,2.765221e-01,5.341242e-01,1.243836e+01,1.596719e+01,2.389670e+01,9.788067e+01,6.068659e-01,8.990941e-03,5.298364e-01,1.537127e-02,3.310572e-01,4.833175e-03
sample11-195rpm-60kx-24,1.484425e-02,75,3.460805e-03,3.394787e-03,7.594921e+02,1624100,1.404642e-01,8.962577e-04,7.632896e-01,2.797203e-02,6.458637e-01,3.360673e-02,2.356960e-02,1.739331e-03,7.654750e+01,4.560429e+03,1.073279e+02,4.679879e+03,9.706316e-02,5.751873e-01,7.049287e+00,1.653160e+01,1.326333e+01,6.672755e+01,6.315412e-01,1.148371e-02,5.613028e-01,4.973444e-02,3.289317e-01,3.377522e-03
sample11-195rpm-60kx-25,1.056775e-03,6,2.753191e-04,2.562472e-04,6.758616e+02,2.285204e+05,1.490143e-01,1.160505e-03,8.310512e-01,2.551452e-02,5.526085e-01,3.942031e-02,1.534347e-03,1.320579e-06,3.223574e+02,1.925699e+05,3.574001e+02,1.946065e+05,5.611072e-01,3.375710e-01,7.356134e+00,5.622086e+00,1.381439e+01,2.915517e+01,6.629633e-01,1.450640e-02,4.776996e-01,5.246877e-02,3.883184e-01,2.765624e-03
sample11-195rpm-60kx-26,2.809917e-03,7,4.699496e-04,4.587021e-04,1.540359e+03,2016500,1.583286e-01,1.406646e-03,8.527529e-01,7.560226e-03,5.718068e-01,1.127595e-02,3.003413e-03,3.846058e-06,1.437372e+02,5.591655e+04,1.888289e+02,6.452690e+04,5.361855e-01,3.671216e-01,1.179241e+01,2.666581e+01,2.013602e+01,9.899407e+01,6.701425e-01,1.114633e-02,5.613745e-01,6.481744e-02,3.575965e-01,1.785398e-03
sample11-195rpm-60kx-31,2.162306e-02,14,1.748252e-03,1.818182e-03,5.926735e+03,101229800,1.493216e-01,1.604118e-03,8.101079e-01,1.946801e-02,5.968637e-01,2.787059e-02,4.715074e-02,4.163400e-03,1.187655e+02,3.303109e+04,1.892404e+02,3.840720e+04,3.846643e-01,3.362933e-01,1.756818e+01,2.593003e+02,3.164621e+01,9.531371e+02,6.775755e-01,8.216343e-03,5.371250e-01,2.959879e-02,3.436470e-01,8.368655e-03
sample11-195rpm-60kx-4,2.679838e-03,13,5.975842e-04,5.746002e-04,7.910273e+02,3.357389e+05,1.576258e-01,1.075883e-03,7.877737e-01,3.240403e-02,6.164864e-01,3.585944e-02,5.583875e-03,2.072559e-05,1.574070e+02,5.551551e+04,1.911677e+02,5.775020e+04,-3.170742e-01,5.124348e-01,8.106079e+00,7.942570e+00,1.487672e+01,3.301465e+01,6.615900e-01,1.830907e-02,5.335684e-01,4.504472e-02,3.721928e-01,1.413711e-03
sample11-195rpm-60kx-6,2.487163e-03,11,4.851093e-04,4.679935e-04,8.676368e+02,3.544658e+05,1.756052e-01,8.993189e-04,7.258521e-01,4.565856e-02,6.927678e-01,3.373626e-02,3.312774e-03,1.177126e-05,2.311808e+02,2.031926e+04,2.668211e+02,2.121817e+04,-7.369329e-02,1.031840e+00,9.751135e+00,6.872463e+00,1.581404e+01,2.870274e+01,7.034160e-01,1.124562e-02,6.478242e-01,5.525113e-02,3.648237e-01,1.662085e-03
sample11-195rpm-60kx-7,4.431024e-03,9,5.995403e-04,6.279036e-04,1.889243e+03,1682505,1.652571e-01,1.420767e-03,7.686888e-01,2.380296e-02,6.612620e-01,2.689956e-02,5.243714e-03,1.903081e-05,2.946439e+02,7.241095e+04,3.445496e+02,7.251777e+04,-3.932389e-02,8.948300e-01,1.374703e+01,2.172772e+01,2.307545e+01,7.749943e+01,6.395924e-01,1.442513e-02,5.890459e-01,2.637510e-02,3.537127e-01,5.494413e-03
sample11-195rpm-60kx-8,4.813927e-03,56,1.789330e-03,1.707174e-03,3.298662e+02,3.692274e+04,1.437728e-01,8.606702e-04,7.648030e-01,2.267668e-02,6.635660e-01,2.756003e-02,9.880074e-03,2.139178e-04,1.116287e+02,5.422938e+03,1.356583e+02,5.422672e+03,1.849352e-01,5.746591e-01,5.056102e+00,2.869510e+00,9.940379e+00,6.301062e+00,6.447043e-01,1.330058e-02,5.997699e-01,5.912327e-02,3.277498e-01,2.834173e-03
sample11-20rpm-60kx-10,1.039660e-03,8,2.606484e-04,2.435327e-04,4.986864e+02,4.004851e+04,1.779376e-01,9.147421e-04,7.089819e-01,4.884795e-02,6.793273e-01,4.796952e-02,1.263895e-03,6.818497e-07,2.028613e+02,4.105992e+04,2.308092e+02,4.107714e+04,-7.390102e-02,4.489509e-01,7.794035e+00,3.223190e+00,1.236566e+01,6.659714e+00,7.020032e-01,8.502524e-03,6.420521e-01,7.557949e-02,3.924118e-01,3.914581e-03
sample11-20rpm-60kx-12,6.900093e-03,9,9.941806e-04,9.844002e-04,2.941974e+03,8056700,1.339363e-01,1.676361e-03,8.222124e-01,5.430124e-03,6.191516e-01,1.461036e-02,1.059473e-02,1.457790e-04,2.334232e+02,4.681080e+04,2.895497e+02,5.499071e+04,1.433630e-01,1.151526e+00,1.370593e+01,5.020662e+01,2.651927e+01,2.623361e+02,6.042007e-01,3.205635e-02,5.360596e-01,4.940288e-02,3.227123e-01,9.091823e-03
sample11-20rpm-60kx-13,2.650985e-03,13,5.579735e-04,5.335224e-04,7.825108e+02,4.791077e+05,1.711886e-01,1.327259e-03,7.583277e-01,4.660600e-02,6.555300e-01,2.996683e-02,4.589051e-03,2.503413e-05,3.094355e+01,2.184698e+03,6.370968e+01,2.208447e+03,6.151408e-02,6.150996e-01,8.816349e+00,8.057125e+00,1.463287e+01,3.787346e+01,6.797563e-01,1.365679e-02,6.919025e-01,1.243676e-01,3.647160e-01,1.446418e-03
sample11-20rpm-60kx-19,4.084307e-03,28,1.022544e-03,9.643503e-04,5.597405e+02,149883,1.690270e-01,8.354341e-04,7.740241e-01,2.062325e-02,6.728509e-01,2.215908e-02,3.206896e-02,3.598879e-03,9.353091e+01,3.753278e+04,1.211274e+02,3.722874e+04,1.867075e-01,1.061136e+00,7.351249e+00,4.145408e+00,1.276580e+01,1.576833e+01,6.718243e-01,1.312656e-02,6.972898e-01,6.126891e-02,3.484407e-01,2.195803e-03
sample11-20rpm-60kx-2,4.632989e-03,19,9.506577e-04,9.403883e-04,9.356945e+02,5.257204e+05,1.563785e-01,1.252861e-03,8.083322e-01,2.180213e-02,6.135805e-01,2.527750e-02,4.608485e-02,5.751112e-03,9.937676e+01,2.289424e+04,1.322418e+02,2.346578e+04,2.657010e-01,6.163330e-01,8.793181e+00,9.395850e+00,1.604495e+01,4.264480e+01,6.449155e-01,1.947349e-02,5.520130e-01,5.794211e-02,3.608002e-01,1.449456e-03
sample11-20rpm-60kx-20,1.134432e-02,4,1.392244e-03,1.401536e-03,1.088290e+04,71304350,8.363162e-02,1.334012e-03,9.136067e-01,3.742084e-03,4.618419e-01,2.833169e-02,1.266686e-02,6.520141e-05,1.287276e+02,2.316801e+04,3.277790e+02,7.883293e+04,7.636521e-01,1.676199e-01,1.798525e+01,1.091470e+02,5.234389e+01,9.656715e+02,4.778763e-01,1.635921e-02,3.306815e-01,2.981146e-02,2.552446e-01,9.911219e-03
sample11-20rpm-60kx-21,1.088415e-02,7,1.054819e-03,1.071446e-03,5.966544e+03,82341580,1.508020e-01,3.480097e-03,7.424722e-01,2.939807e-02,6.520611e-01,4.342442e-02,1.984168e-02,1.123619e-03,2.595712e+02,1.001075e+05,3.539884e+02,7.340345e+04,2.814192e-01,3.701442e-01,1.547893e+01,1.608276e+02,3.184351e+01,1.032734e+03,6.749376e-01,1.653377e-02,5.889635e-01,6.577864e-02,3.302438e-01,7.060594e-03
sample11-20rpm-60kx-22,2.660277e-03,6,4.454986e-04,4.406083e-04,1.701382e+03,5303420,1.660147e-01,2.652865e-03,7.833842e-01,1.994069e-02,6.295842e-01,3.024927e-02,5.792849e-03,6.028568e-05,4.380682e+02,2.634322e+05,4.877174e+02,2.514428e+05,5.832139e-01,3.556963e-01,9.752883e+00,1.308589e+01,1.958888e+01,1.894113e+02,6.529648e-01,1.849024e-02,6.417195e-01,8.958657e-02,3.550965e-01,3.008847e-03
sample11-20rpm-60kx-23,8.527067e-03,18,1.159959e-03,1.160448e-03,1.817831e+03,8174023,1.650894e-01,1.833296e-03,7.526962e-01,5.163494e-02,6.471397e-01,3.458834e-02,6.913825e-02,1.030866e-02,8.688252e+01,2.530467e+04,1.293217e+02,2.459957e+04,5.647649e-01,5.816845e-01,1.048833e+01,4.824436e+01,1.921758e+01,2.216311e+02,6.592974e-01,1.896482e-02,7.215363e-01,1.240637e-01,3.144994e-01,9.826622e-03
sample11-20rpm-60kx-26,1.591031e-02,10,1.501785e-03,1.499829e-03,6.105273e+03,119596700,1.350706e-01,1.758998e-03,8.189619e-01,1.709014e-02,6.168056e-01,4.400838e-02,3.527927e-02,1.241119e-03,1.086972e+02,3.014021e+04,1.849645e+02,2.822070e+04,5.591969e-01,2.120825e-01,1.568681e+01,1.765313e+02,3.297982e+01,9.507783e+02,5.943718e-01,1.682673e-02,4.919985e-01,5.592296e-02,3.246730e-01,3.764249e-03
sample11-20rpm-60kx-27,2.025527e-03,13,4.684826e-04,4.582131e-04,5.978896e+02,6.368442e+04,1.729479e-01,7.058825e-04,8.004965e-01,1.586413e-02,6.188100e-01,2.473044e-02,3.755201e-03,9.902398e-06,1.986958e+02,5.788036e+04,2.324646e+02,5.823968e+04,2.968615e-01,3.627866e-01,7.843603e+00,2.938847e+00,1.348841e+01,9.075141e+00,6.944173e-01,1.245355e-02,6.091712e-01,4.752170e-02,3.778179e-01,5.517131e-04
sample11-20rpm-60kx-29,9.331997e-03,8,1.135019e-03,1.138442e-03,4.476215e+03,61204330,1.509268e-01,2.200422e-03,8.147482e-01,1.529535e-02,5.958450e-01,1.461111e-02,2.815245e-02,2.102730e-03,1.746205e+02,6.955584e+04,2.556349e+02,6.195919e+04,1.301490e-01,3.777485e-01,1.423565e+01,9.866422e+01,2.864076e+01,6.908919e+02,6.539976e-01,1.554020e-02,5.045869e-01,2.031457e-02,3.544553e-01,9.649777e-03
sample11-20rpm-60kx-4,9.032716e-03,8,1.181476e-03,1.237713e-03,4.332661e+03,28011280,1.279687e-01,2.361769e-03,7.973815e-01,1.182503e-02,6.000262e-01,3.196169e-02,1.205899e-02,1.674363e-04,2.150661e+02,1.400998e+05,3.011142e+02,1.322295e+05,5.107847e-01,6.939898e-01,1.309552e+01,2.329375e+01,3.136561e+01,4.518025e+02,5.543673e-01,1.245641e-02,5.601347e-01,6.216868e-02,2.770423e-01,3.452568e-03
sample11-20rpm-60kx-6,5.748447e-03,16,9.310969e-04,9.218055e-04,1.378659e+03,3139558,1.600768e-01,9.605028e-04,7.587272e-01,4.007279e-02,6.336897e-01,5.165206e-02,4.049292e-02,4.399881e-03,1.224357e+02,3.495764e+04,1.682204e+02,3.831952e+04,4.809360e-01,4.840163e-01,1.047116e+01,2.165783e+01,1.841486e+01,1.063827e+02,6.380033e-01,1.390200e-02,5.627521e-01,6.780814e-02,3.740527e-01,4.583843e-03
sample11-20rpm-60kx-7,1.849968e-03,15,4.645704e-04,4.459876e-04,4.732595e+02,9.163807e+04,1.755044e-01,7.366864e-04,7.484691e-01,2.339469e-02,6.568428e-01,2.672594e-02,1.460990e-02,9.332799e-04,9.839180e+01,2.487914e+04,1.242914e+02,2.544090e+04,-3.304247e-01,7.923645e-01,7.253788e+00,4.477188e+00,1.171095e+01,1.446100e+01,7.119127e-01,1.374731e-02,6.625614e-01,7.057598e-02,3.783813e-01,2.079564e-03
sample11-20rpm-60kx-8,1.719742e-02,9,1.654360e-03,1.687124e-03,7.332416e+03,183962000,1.531091e-01,2.387004e-03,8.227154e-01,2.470902e-02,5.698075e-01,3.002459e-02,2.426199e-02,9.255861e-04,9.774034e+01,1.735528e+04,1.760151e+02,1.578306e+04,6.734958e-02,5.317974e-01,1.592409e+01,1.505490e+02,3.405253e+01,1.321206e+03,6.563579e-01,1.586456e-02,5.095003e-01,6.821208e-02,3.623714e-01,7.949029e-03
sample11-20rpm-60kx-9,1.982395e-02,8,1.666096e-03,1.771725e-03,9.508820e+03,298924500,1.431546e-01,2.637210e-03,8.156596e-01,1.886285e-02,5.731420e-01,4.558355e-02,5.178145e-02,1.431894e-02,2.995445e+02,8.084882e+04,3.876953e+02,7.335760e+04,6.779518e-02,1.307098e-01,1.655012e+01,1.440319e+02,3.940774e+01,1.684322e+03,6.476886e-01,1.733026e-02,4.499230e-01,3.301095e-02,3.573695e-01,1.402820e-02
sample12-100rpm-60kx-1,5.776322e-03,31,1.293951e-03,1.236735e-03,7.150164e+02,5.431091e+05,1.666783e-01,1.254659e-03,7.876785e-01,3.052124e-02,5.985499e-01,3.956856e-02,1.463782e-02,3.552829e-04,7.872362e+01,1.041893e+04,1.172704e+02,9.670133e+03,3.762322e-01,7.643351e-01,8.154686e+00,7.721569e+00,1.392655e+01,3.476952e+01,6.943926e-01,9.453878e-03,6.181324e-01,7.613396e-02,3.719831e-01,2.724834e-03
