sample_name,R_vfs,R_n,R_intph0,R_intph1,R_area_m,R_area_v,R_comp_m,R_comp_v,R_eccen_m,R_eccen_v,R_els_m,R_els_v,P_locvf_m,P_locvf_v,P_nbd_m,P_nbd_v,P_ncd_m,P_ncd_v,P_ornang_m,P_ornang_v,P_pores_m,P_pores_v,P_rc_m,P_rc_v,P_rctan_m,P_rctan_v,P_rnds_m,P_rnds_v,P_ttst_m,P_ttst_v
sample9-195rpm-60kx-2b,7.096191e-03,37,1.690547e-03,1.641645e-03,7.359527e+02,208275,1.526775e-01,1.173651e-03,7.657049e-01,2.743387e-02,6.523059e-01,2.067826e-02,1.445135e-02,4.578166e-04,8.230037e+01,1.007661e+04,1.139493e+02,1.014343e+04,-7.955463e-02,7.177670e-01,8.806114e+00,8.077902e+00,1.465752e+01,1.995755e+01,6.497952e-01,1.174722e-02,5.823327e-01,4.600415e-02,3.417598e-01,2.513196e-03
sample9-195rpm-60kx-2c,9.656707e-03,50,2.174189e-03,2.113062e-03,7.411147e+02,2.439572e+05,1.579783e-01,7.942060e-04,8.183300e-01,1.451632e-02,5.982558e-01,2.394336e-02,1.377368e-02,2.038153e-04,9.679112e+01,7.538757e+03,1.326246e+02,7.184318e+03,-3.734172e-02,5.782811e-01,8.357171e+00,7.814453e+00,1.454330e+01,2.489434e+01,6.718314e-01,1.347862e-02,5.663653e-01,5.724183e-02,3.657268e-01,3.368252e-03
sample9-195rpm-60kx-3,1.133552e-02,44,2.409898e-03,2.355127e-03,9.885873e+02,511184,1.528748e-01,9.536744e-04,7.811283e-01,2.358976e-02,6.494627e-01,2.571615e-02,1.529618e-02,1.625934e-04,1.208653e+02,4.183453e+03,1.665057e+02,4.346147e+03,1.459435e-02,8.026546e-01,9.724738e+00,4.867967e+00,1.695941e+01,2.768472e+01,6.289007e-01,1.228055e-02,5.893263e-01,5.506355e-02,3.375277e-01,2.530885e-03
sample9-195rpm-60kx-4,9.342755e-03,54,2.264658e-03,2.198151e-03,6.639075e+02,1.254175e+05,1.535016e-01,6.734090e-04,7.575450e-01,2.104294e-02,6.715644e-01,2.700690e-02,1.860644e-02,1.120775e-03,6.121464e+01,4.930954e+03,9.540633e+01,5.030485e+03,8.635152e-02,5.716897e-01,8.254511e+00,6.027906e+00,1.401904e+01,1.507388e+01,6.450382e-01,8.074877e-03,5.780365e-01,3.074008e-02,3.473547e-01,1.949612e-03
sample9-195rpm-60kx-5,9.948164e-03,49,2.034818e-03,1.968311e-03,7.790641e+02,1.920601e+05,1.709634e-01,6.799633e-04,7.566378e-01,2.479252e-02,6.745145e-01,2.208691e-02,1.273207e-02,1.163545e-04,1.160774e+02,8.290009e+03,1.518185e+02,8.315004e+03,-1.244951e-01,9.352438e-01,9.468170e+00,5.713570e+00,1.519528e+01,1.744312e+01,6.883633e-01,8.731430e-03,6.494530e-01,5.336723e-02,3.626156e-01,1.495244e-03
sample9-195rpm-60kx-6,1.303829e-02,54,2.524818e-03,2.447552e-03,9.265167e+02,6.261693e+05,1.671525e-01,6.769574e-04,7.519956e-01,2.357882e-02,6.716983e-01,2.168876e-02,1.730015e-02,2.226024e-04,8.763464e+01,6.514288e+03,1.230174e+02,6.475430e+03,-6.005835e-02,1.053807e+00,9.923194e+00,6.917453e+00,1.627352e+01,3.065979e+01,6.716460e-01,7.768721e-03,6.993936e-01,3.301821e-02,3.385588e-01,2.093344e-03
sample9-195rpm-60kx-7,1.289012e-02,61,2.605995e-03,2.513081e-03,8.108740e+02,1.881027e+05,1.687656e-01,5.653892e-04,7.722657e-01,2.188259e-02,6.586464e-01,2.649267e-02,1.772803e-02,2.945111e-04,8.986574e+01,6.071905e+03,1.258349e+02,6.292573e+03,-2.740999e-01,7.747863e-01,9.478047e+00,5.091500e+00,1.554752e+01,1.665705e+01,6.747481e-01,1.095044e-02,6.361105e-01,4.490873e-02,3.644514e-01,2.448882e-03
sample9-195rpm-60kx-8,9.803413e-03,40,1.935058e-03,1.873930e-03,9.404673e+02,3.943471e+05,1.586451e-01,7.670657e-04,7.509677e-01,2.181058e-02,6.825123e-01,2.878525e-02,1.498467e-02,3.669912e-04,9.114607e+01,1.048405e+04,1.302127e+02,1.061905e+04,-2.062529e-01,7.860538e-01,1.020433e+01,9.883059e+00,1.659236e+01,2.467026e+01,6.293277e-01,1.265343e-02,6.345960e-01,7.340554e-02,3.473164e-01,2.730899e-03
sample9-20rpm-60kx-10,3.851533e-03,18,8.636119e-04,8.376938e-04,8.210838e+02,2.966867e+05,1.479453e-01,3.382374e-04,8.126474e-01,9.308817e-03,6.405493e-01,1.364537e-02,5.307981e-03,2.433624e-05,2.184793e+02,4.590849e+04,2.568050e+02,4.785494e+04,9.835615e-02,1.117533e+00,8.636613e+00,7.672488e+00,1.536026e+01,2.691699e+01,6.335722e-01,1.007910e-02,6.461322e-01,4.506081e-02,3.177410e-01,2.528873e-03
sample9-20rpm-60kx-2,7.581789e-03,35,1.741894e-03,1.681256e-03,8.312468e+02,2.110349e+05,1.484285e-01,7.458160e-04,6.934710e-01,2.744174e-02,7.371620e-01,1.771232e-02,1.674224e-02,4.105280e-04,7.278710e+01,9.474080e+03,1.086728e+02,9.472030e+03,2.059018e-01,8.252804e-01,9.368016e+00,7.569547e+00,1.559402e+01,2.205076e+01,6.031463e-01,1.172794e-02,6.531040e-01,3.845311e-02,3.126824e-01,1.948253e-03
sample9-20rpm-60kx-5,1.152721e-02,40,2.289599e-03,2.233850e-03,1.105836e+03,5.719829e+05,1.480686e-01,7.839466e-04,7.873727e-01,1.379628e-02,6.490418e-01,1.820025e-02,1.525548e-02,1.917720e-04,9.728813e+01,8.566792e+03,1.369132e+02,9.728310e+03,1.790480e-01,8.131745e-01,1.009217e+01,1.135185e+01,1.766705e+01,4.089639e+01,6.304120e-01,8.945068e-03,6.102637e-01,3.636617e-02,3.229434e-01,3.510962e-03
sample9-20rpm-60kx-6,4.108758e-03,16,8.655680e-04,8.533425e-04,9.854100e+02,4.771548e+05,1.395609e-01,4.486910e-04,7.768564e-01,2.610208e-02,6.274973e-01,4.028377e-02,1.187846e-02,4.761043e-04,1.906178e+02,2.294726e+04,2.342960e+02,2.501882e+04,2.135363e-01,1.042642e+00,9.720041e+00,1.706793e+01,1.674262e+01,3.557374e+01,6.176044e-01,4.182865e-03,5.891963e-01,3.633999e-02,3.082868e-01,2.689014e-03
sample9-20rpm-60kx-7,7.244364e-03,22,1.396645e-03,1.422074e-03,1.263583e+03,1024168,1.432958e-01,1.034266e-03,7.581812e-01,1.396330e-02,6.766887e-01,2.221951e-02,1.177996e-02,1.738642e-04,1.570455e+02,1.647532e+04,1.999397e+02,1.754438e+04,-1.193363e-01,1.515125e+00,1.109146e+01,1.141390e+01,1.890271e+01,4.703679e+01,6.529759e-01,8.948595e-03,7.124013e-01,4.377261e-02,2.857237e-01,2.924045e-03
sample9-20rpm-60kx-9,6.568536e-03,32,1.515967e-03,1.477334e-03,7.876712e+02,2.875439e+05,1.508763e-01,7.451967e-04,8.084620e-01,1.355876e-02,6.212925e-01,2.425774e-02,1.606098e-02,3.103970e-04,5.924547e+01,7.049694e+03,9.254174e+01,7.562099e+03,-1.563211e-01,7.641383e-01,8.371956e+00,7.189827e+00,1.500552e+01,2.638227e+01,6.271547e-01,1.023699e-02,5.729624e-01,3.904602e-02,3.354734e-01,2.858267e-03
sample9-20rpm-60kx,1.321483e-02,31,2.006455e-03,2.010367e-03,1.635785e+03,1022053,1.498446e-01,6.808882e-04,6.899008e-01,2.352796e-02,7.227791e-01,2.079332e-02,1.733721e-02,2.928432e-04,1.298723e+02,1.434854e+04,1.806709e+02,1.555666e+04,9.897663e-02,1.025761e+00,1.448505e+01,3.645768e+01,2.154710e+01,5.828906e+01,6.250865e-01,1.012979e-02,6.662629e-01,4.048262e-02,3.096310e-01,2.809714e-03
